date,cases,tests,deaths,county,year,epi_week,year_day,new_time
2021-07-04,429,7363,4,Los Angeles,2021,27,185,1
2021-07-05,864,21344,4,Los Angeles,2021,27,186,2
2021-07-06,1194,64950,5,Los Angeles,2021,27,187,3
2021-07-07,1219,55582,5,Los Angeles,2021,27,188,4
2021-07-08,1181,49168,3,Los Angeles,2021,27,189,5
2021-07-09,1213,48803,7,Los Angeles,2021,27,190,6
2021-07-10,1004,19550,6,Los Angeles,2021,27,191,7
2021-07-11,1028,13835,4,Los Angeles,2021,28,192,8
2021-07-12,1758,55267,3,Los Angeles,2021,28,193,9
2021-07-13,1797,56478,4,Los Angeles,2021,28,194,10
2021-07-14,1851,57751,5,Los Angeles,2021,28,195,11
2021-07-15,2017,52519,5,Los Angeles,2021,28,196,12
2021-07-16,1988,54609,4,Los Angeles,2021,28,197,13
2021-07-17,1501,24088,6,Los Angeles,2021,28,198,14
2021-07-18,1537,17168,4,Los Angeles,2021,29,199,15
2021-07-19,2689,67671,9,Los Angeles,2021,29,200,16
2021-07-20,2605,68458,8,Los Angeles,2021,29,201,17
2021-07-21,2796,72664,6,Los Angeles,2021,29,202,18
2021-07-22,2514,62441,12,Los Angeles,2021,29,203,19
2021-07-23,2440,65533,16,Los Angeles,2021,29,204,20
2021-07-24,1943,29494,8,Los Angeles,2021,29,205,21
2021-07-25,1777,18689,8,Los Angeles,2021,30,206,22
2021-07-26,3421,73791,6,Los Angeles,2021,30,207,23
2021-07-27,3348,68749,14,Los Angeles,2021,30,208,24
2021-07-28,3470,72922,5,Los Angeles,2021,30,209,25
2021-07-29,3177,68074,13,Los Angeles,2021,30,210,26
2021-07-30,3106,75641,6,Los Angeles,2021,30,211,27
2021-07-31,2334,34942,11,Los Angeles,2021,30,212,28
2021-08-01,2207,22160,10,Los Angeles,2021,31,213,29
2021-08-02,3692,102596,15,Los Angeles,2021,31,214,30
2021-08-03,3724,95983,12,Los Angeles,2021,31,215,31
2021-08-04,3748,116160,19,Los Angeles,2021,31,216,32
2021-08-05,3492,108946,23,Los Angeles,2021,31,217,33
2021-08-06,3220,110495,17,Los Angeles,2021,31,218,34
2021-08-07,2493,49437,23,Los Angeles,2021,31,219,35
2021-08-08,2038,23166,19,Los Angeles,2021,32,220,36
2021-08-09,4249,164084,28,Los Angeles,2021,32,221,37
2021-08-10,4018,138132,25,Los Angeles,2021,32,222,38
2021-08-11,3758,163428,14,Los Angeles,2021,32,223,39
2021-08-12,3330,147635,22,Los Angeles,2021,32,224,40
2021-08-13,3192,136838,31,Los Angeles,2021,32,225,41
2021-08-14,2326,64552,28,Los Angeles,2021,32,226,42
2021-08-15,1773,27924,15,Los Angeles,2021,33,227,43
2021-08-16,3535,178133,28,Los Angeles,2021,33,228,44
2021-08-17,3383,169536,30,Los Angeles,2021,33,229,45
2021-08-18,3569,197481,25,Los Angeles,2021,33,230,46
2021-08-19,3154,190663,31,Los Angeles,2021,33,231,47
2021-08-20,2984,187915,24,Los Angeles,2021,33,232,48
2021-08-21,1879,47763,25,Los Angeles,2021,33,233,49
2021-08-22,1298,26055,14,Los Angeles,2021,34,234,50
2021-08-23,3322,210930,33,Los Angeles,2021,34,235,51
2021-08-24,2972,185103,31,Los Angeles,2021,34,236,52
2021-08-25,2865,210625,28,Los Angeles,2021,34,237,53
2021-08-26,2601,201498,30,Los Angeles,2021,34,238,54
2021-08-27,2275,186821,27,Los Angeles,2021,34,239,55
2021-08-28,1529,43903,27,Los Angeles,2021,34,240,56
2021-08-29,1215,25818,31,Los Angeles,2021,35,241,57
2021-08-30,2748,232614,21,Los Angeles,2021,35,242,58
2021-08-31,2459,205128,25,Los Angeles,2021,35,243,59
2021-09-01,2594,230429,31,Los Angeles,2021,35,244,60
2021-09-02,2266,216459,46,Los Angeles,2021,35,245,61
2021-09-03,1857,90561,33,Los Angeles,2021,35,246,62
2021-09-04,1331,37300,28,Los Angeles,2021,35,247,63
2021-09-05,959,23219,37,Los Angeles,2021,36,248,64
2021-09-06,1298,35420,31,Los Angeles,2021,36,249,65
2021-09-07,2379,161017,32,Los Angeles,2021,36,250,66
2021-09-08,2231,245884,25,Los Angeles,2021,36,251,67
2021-09-09,2073,230985,32,Los Angeles,2021,36,252,68
2021-09-10,1867,193255,27,Los Angeles,2021,36,253,69
2021-09-11,1206,41392,24,Los Angeles,2021,36,254,70
2021-09-12,973,24858,20,Los Angeles,2021,37,255,71
2021-09-13,2059,240523,20,Los Angeles,2021,37,256,72
2021-09-14,1865,211753,20,Los Angeles,2021,37,257,73
2021-09-15,1836,230470,19,Los Angeles,2021,37,258,74
2021-09-16,1505,97485,24,Los Angeles,2021,37,259,75
2021-09-17,1391,183955,23,Los Angeles,2021,37,260,76
2021-09-18,980,37820,29,Los Angeles,2021,37,261,77
2021-09-19,763,23995,16,Los Angeles,2021,38,262,78
2021-09-20,1981,210568,24,Los Angeles,2021,38,263,79
2021-09-21,1523,194058,25,Los Angeles,2021,38,264,80
2021-09-22,1456,209079,28,Los Angeles,2021,38,265,81
2021-09-23,1323,210930,19,Los Angeles,2021,38,266,82
2021-09-24,1197,180011,24,Los Angeles,2021,38,267,83
2021-09-25,887,35471,25,Los Angeles,2021,38,268,84
2021-09-26,709,22057,17,Los Angeles,2021,39,269,85
2021-09-27,1490,221753,18,Los Angeles,2021,39,270,86
2021-09-28,1337,194303,18,Los Angeles,2021,39,271,87
2021-09-29,1289,217093,20,Los Angeles,2021,39,272,88
2021-09-30,1222,211164,12,Los Angeles,2021,39,273,89
2021-10-01,1209,178920,20,Los Angeles,2021,39,274,90
2021-10-02,765,33102,26,Los Angeles,2021,39,275,91
2021-10-03,612,21585,15,Los Angeles,2021,40,276,92
2021-10-04,1261,216620,16,Los Angeles,2021,40,277,93
2021-10-05,1121,179094,22,Los Angeles,2021,40,278,94
2021-10-06,1143,204693,17,Los Angeles,2021,40,279,95
2021-10-07,956,195565,20,Los Angeles,2021,40,280,96
2021-10-08,956,178314,20,Los Angeles,2021,40,281,97
2021-10-09,661,31953,7,Los Angeles,2021,40,282,98
2021-10-10,586,21873,9,Los Angeles,2021,41,283,99
2021-10-11,1188,212996,13,Los Angeles,2021,41,284,100
2021-10-12,1046,199561,17,Los Angeles,2021,41,285,101
2021-10-13,1060,202063,12,Los Angeles,2021,41,286,102
2021-10-14,1056,203918,15,Los Angeles,2021,41,287,103
2021-10-15,986,178206,11,Los Angeles,2021,41,288,104
2021-10-16,686,32240,23,Los Angeles,2021,41,289,105
2021-10-17,653,22077,15,Los Angeles,2021,42,290,106
2021-10-18,1336,217764,11,Los Angeles,2021,42,291,107
2021-10-19,1243,193837,9,Los Angeles,2021,42,292,108
2021-10-20,1247,215253,10,Los Angeles,2021,42,293,109
2021-10-21,1118,208993,15,Los Angeles,2021,42,294,110
2021-10-22,1121,171374,13,Los Angeles,2021,42,295,111
2021-10-23,765,30928,13,Los Angeles,2021,42,296,112
2021-10-24,676,20067,13,Los Angeles,2021,43,297,113
2021-10-25,1434,197767,12,Los Angeles,2021,43,298,114
2021-10-26,1355,201028,13,Los Angeles,2021,43,299,115
2021-10-27,1339,213726,12,Los Angeles,2021,43,300,116
2021-10-28,1229,204002,15,Los Angeles,2021,43,301,117
2021-10-29,1137,155692,11,Los Angeles,2021,43,302,118
2021-10-30,841,31573,14,Los Angeles,2021,43,303,119
2021-10-31,722,20252,12,Los Angeles,2021,44,304,120
2021-11-01,1552,214026,14,Los Angeles,2021,44,305,121
2021-11-02,1385,193583,14,Los Angeles,2021,44,306,122
2021-11-03,1442,217524,11,Los Angeles,2021,44,307,123
2021-11-04,1352,208341,16,Los Angeles,2021,44,308,124
2021-11-05,1307,183129,16,Los Angeles,2021,44,309,125
2021-11-06,823,34391,12,Los Angeles,2021,44,310,126
2021-11-07,770,133421,14,Los Angeles,2021,45,311,127
2021-11-08,1488,219660,11,Los Angeles,2021,45,312,128
2021-11-09,1338,237546,19,Los Angeles,2021,45,313,129
2021-11-10,1253,136871,20,Los Angeles,2021,45,314,130
2021-11-11,950,170480,16,Los Angeles,2021,45,315,131
2021-11-12,1096,94430,13,Los Angeles,2021,45,316,132
2021-11-13,728,31719,12,Los Angeles,2021,45,317,133
2021-11-14,654,122125,15,Los Angeles,2021,46,318,134
2021-11-15,1364,203286,21,Los Angeles,2021,46,319,135
2021-11-16,1188,226241,8,Los Angeles,2021,46,320,136
2021-11-17,1169,213592,12,Los Angeles,2021,46,321,137
2021-11-18,1097,189041,11,Los Angeles,2021,46,322,138
2021-11-19,988,81245,11,Los Angeles,2021,46,323,139
2021-11-20,688,29580,10,Los Angeles,2021,46,324,140
2021-11-21,620,29870,12,Los Angeles,2021,47,325,141
2021-11-22,1060,101715,12,Los Angeles,2021,47,326,142
2021-11-23,1065,81464,26,Los Angeles,2021,47,327,143
2021-11-24,1008,58433,13,Los Angeles,2021,47,328,144
2021-11-25,485,8563,15,Los Angeles,2021,47,329,145
2021-11-26,970,39702,12,Los Angeles,2021,47,330,146
2021-11-27,849,34980,11,Los Angeles,2021,47,331,147
2021-11-28,1007,130289,15,Los Angeles,2021,48,332,148
2021-11-29,2166,241176,20,Los Angeles,2021,48,333,149
2021-11-30,1848,234596,17,Los Angeles,2021,48,334,150
2021-12-01,1797,220739,20,Los Angeles,2021,48,335,151
2021-12-02,1591,197415,15,Los Angeles,2021,48,336,152
2021-12-03,1517,88913,13,Los Angeles,2021,48,337,153
2021-12-04,946,36421,9,Los Angeles,2021,48,338,154
2021-12-05,877,126013,11,Los Angeles,2021,49,339,155
2021-12-06,1846,206739,9,Los Angeles,2021,49,340,156
2021-12-07,1662,234234,14,Los Angeles,2021,49,341,157
2021-12-08,1776,217866,10,Los Angeles,2021,49,342,158
2021-12-09,1547,190352,15,Los Angeles,2021,49,343,159
2021-12-10,1541,89211,8,Los Angeles,2021,49,344,160
2021-12-11,1088,37381,20,Los Angeles,2021,49,345,161
2021-12-12,1214,90768,12,Los Angeles,2021,50,346,162
2021-12-13,2916,180175,15,Los Angeles,2021,50,347,163
2021-12-14,2785,176026,10,Los Angeles,2021,50,348,164
2021-12-15,3671,222589,19,Los Angeles,2021,50,349,165
2021-12-16,3909,199340,15,Los Angeles,2021,50,350,166
2021-12-17,4214,167580,18,Los Angeles,2021,50,351,167
2021-12-18,3946,51032,13,Los Angeles,2021,50,352,168
2021-12-19,4099,40342,19,Los Angeles,2021,51,353,169
2021-12-20,9011,128673,13,Los Angeles,2021,51,354,170
2021-12-21,11496,134559,13,Los Angeles,2021,51,355,171
2021-12-22,13907,149503,14,Los Angeles,2021,51,356,172
2021-12-23,13559,124075,21,Los Angeles,2021,51,357,173
2021-12-24,9564,65860,13,Los Angeles,2021,51,358,174
2021-12-25,4878,17211,16,Los Angeles,2021,51,359,175
2021-12-26,12828,64555,14,Los Angeles,2021,52,360,176
2021-12-27,29912,161960,24,Los Angeles,2021,52,361,177
2021-12-28,36368,187866,19,Los Angeles,2021,52,362,178
2021-12-29,32291,178785,18,Los Angeles,2021,52,363,179
2021-12-30,30012,165166,16,Los Angeles,2021,52,364,180
2021-12-31,23321,113891,19,Los Angeles,2021,52,365,181
2022-01-01,10789,40426,23,Los Angeles,2022,52,1,182
2022-01-02,20157,101293,18,Los Angeles,2022,1,2,183
2022-01-03,51225,300598,36,Los Angeles,2022,1,3,184
2022-01-04,60879,339128,28,Los Angeles,2022,1,4,185
2022-01-05,59987,338717,42,Los Angeles,2022,1,5,186
2022-01-06,56351,343985,38,Los Angeles,2022,1,6,187
2022-01-07,54199,325060,36,Los Angeles,2022,1,7,188
2022-01-08,31195,162141,48,Los Angeles,2022,1,8,189
2022-01-09,18406,90280,39,Los Angeles,2022,2,9,190
2022-01-10,48095,315815,39,Los Angeles,2022,2,10,191
2022-01-11,45588,340511,63,Los Angeles,2022,2,11,192
2022-01-12,42518,329958,70,Los Angeles,2022,2,12,193
2022-01-13,39772,322572,69,Los Angeles,2022,2,13,194
2022-01-14,36509,298236,66,Los Angeles,2022,2,14,195
2022-01-15,19333,104572,93,Los Angeles,2022,2,15,196
2022-01-16,11551,64513,69,Los Angeles,2022,3,16,197
2022-01-17,23219,150063,74,Los Angeles,2022,3,17,198
2022-01-18,39245,365638,80,Los Angeles,2022,3,18,199
2022-01-19,33454,315840,96,Los Angeles,2022,3,19,200
2022-01-20,28400,295064,78,Los Angeles,2022,3,20,201
2022-01-21,24743,263246,91,Los Angeles,2022,3,21,202
2022-01-22,11308,78862,88,Los Angeles,2022,3,22,203
2022-01-23,7425,52002,100,Los Angeles,2022,4,23,204
2022-01-24,20336,288545,78,Los Angeles,2022,4,24,205
2022-01-25,16527,254558,85,Los Angeles,2022,4,25,206
2022-01-26,14955,248630,90,Los Angeles,2022,4,26,207
2022-01-27,12212,229010,83,Los Angeles,2022,4,27,208
2022-01-28,11160,207556,86,Los Angeles,2022,4,28,209
2022-01-29,5728,59446,90,Los Angeles,2022,4,29,210
2022-01-30,3907,39496,107,Los Angeles,2022,5,30,211
2022-01-31,10083,264137,99,Los Angeles,2022,5,31,212
2022-02-01,8231,217684,113,Los Angeles,2022,5,32,213
2022-02-02,7159,219085,108,Los Angeles,2022,5,33,214
2022-02-03,6223,215560,89,Los Angeles,2022,5,34,215
2022-02-04,5421,183968,93,Los Angeles,2022,5,35,216
2022-02-05,2637,42643,79,Los Angeles,2022,5,36,217
2022-02-06,2175,31883,70,Los Angeles,2022,6,37,218
2022-02-07,5505,240633,86,Los Angeles,2022,6,38,219
2022-02-08,4429,205663,93,Los Angeles,2022,6,39,220
2022-02-09,4307,207642,82,Los Angeles,2022,6,40,221
2022-02-10,3631,200951,69,Los Angeles,2022,6,41,222
2022-02-11,3137,162674,77,Los Angeles,2022,6,42,223
2022-02-12,1631,35730,56,Los Angeles,2022,6,43,224
2022-02-13,1155,24393,54,Los Angeles,2022,7,44,225
2022-02-14,3151,215339,59,Los Angeles,2022,7,45,226
2022-02-15,2561,192215,39,Los Angeles,2022,7,46,227
2022-02-16,2255,187597,67,Los Angeles,2022,7,47,228
2022-02-17,2078,187977,52,Los Angeles,2022,7,48,229
2022-02-18,1822,152850,46,Los Angeles,2022,7,49,230
2022-02-19,984,26400,31,Los Angeles,2022,7,50,231
2022-02-20,788,23360,50,Los Angeles,2022,8,51,232
2022-02-21,1322,61805,37,Los Angeles,2022,8,52,233
2022-02-22,1774,248921,43,Los Angeles,2022,8,53,234
2022-02-23,1459,202454,29,Los Angeles,2022,8,54,235
