date,gene_copy_1,gene_copy_2,gene_copy_3,year,epi_week,year_day,sum_genes,new_time,log_gene_copies1,log_gene_copies2,log_gene_copies3
2021-07-04,116000,178000,87100,2021,27,185,381100,1,4.7535901911063645,5.181783550292085,4.467056883858457
2021-07-05,157000,130000,195000,2021,27,186,482000,2,5.056245805348308,4.867534450455582,5.272999558563747
2021-07-11,402000,43200,57100,2021,28,192,502300,8,5.996452088619021,3.765840495250065,4.044804116661965
2021-07-12,253000,249000,232000,2021,28,193,734000,9,5.53338948872752,5.517452896464707,5.44673737166631
2021-07-14,217000,240000,537000,2021,28,195,994000,11,5.37989735354046,5.480638923341991,6.285998094508865
2021-07-18,354000,451000,746000,2021,29,199,1551000,15,5.869296913133774,6.111467339502679,6.61472560020376
2021-07-19,270000,867000,461000,2021,29,200,1598000,16,5.598421958998375,6.7650389767805414,6.133398042996649
2021-07-21,400000,136000,196000,2021,29,202,732000,18,5.991464547107982,4.912654885736052,5.278114659230517
2021-07-26,1250000,1310000,1960000,2021,30,207,4520000,23,7.1308988302963465,7.177782416195197,7.580699752224563
2021-07-30,662000,370000,761000,2021,30,211,1793000,27,6.495265555937008,5.91350300563827,6.634633357861686
2021-08-01,13900000,2770000,1160000,2021,31,213,17830000,29,9.539644119118783,7.926602599181384,7.05617528410041
2021-08-02,3834344.981,2051300.573,5369955.167,2021,31,214,11255600.721,30,8.251753898952575,7.626229296823108,8.588574838678488
2021-08-04,3704309.696,2306134.936,5480926.132,2021,31,216,11491370.764,32,8.217252203501948,7.743328214294856,8.609029367852582
2021-08-08,4815674.921,2786716.65,3076396.435,2021,32,220,10678788.006000001,36,8.479631484918084,7.932619353852649,8.031514202360228
2021-08-09,924704.1974,961191.0961,904063.2135,2021,32,221,2789958.5069999998,37,6.829473899775194,6.868173240502721,6.80689928438549
2021-08-11,808270.8758,805769.1899,766779.1413,2021,32,223,2380819.2070000004,39,6.6948972446666755,6.691797336608037,6.6421988085323305
2021-08-15,868461.7568,451071.7258,3752208.408,2021,33,227,5071741.8906,43,6.7667235510904655,6.11162636410815,8.23009985442572
2021-08-16,753788.5432,1268634.598,748959.5013,2021,33,228,2771382.6425,44,6.625111881991081,7.145696481411857,6.618684911694884
2021-08-18,318130.7528,130451.7057,811549.234,2021,33,230,1260131.6925000001,46,5.7624624705990435,4.8710030870051115,6.6989450554777985
2021-08-22,1252726.117,1607712.477,1375015.642,2021,34,234,4235454.236,50,7.133077349199913,7.382567625915064,7.2262203860359655
2021-08-29,464150.5114,753620.006,269395.6153,2021,35,241,1487166.1327,57,6.140208877644322,6.624888270149697,5.596180988045742
2021-09-05,1759070.673,1486708.514,852063.6789,2021,36,248,4097842.8659,64,7.472540921872459,7.304319904380334,6.747661264529342
2021-09-06,2359401.021,1482168.268,862552.0719,2021,36,249,4704121.3609,65,7.766163061144785,7.301261340571316,6.759895520300517
2021-09-12,658251.8444,305710.9447,513111.6782,2021,37,255,1477074.4673,71,6.489587600347427,5.7226400303494644,6.240493517774666
2021-09-13,392185.1748,444202.7731,298776.904,2021,37,256,1135164.8519000001,72,5.971734112945815,6.09628115434944,5.699697154421117
2021-09-15,618173.6839,318523.9027,410950.9772,2021,37,258,1347648.5638,74,6.4267694598821965,5.763697519919983,6.018473930496536
2021-09-19,299567.7584,364411.4007,252892.9629,2021,38,262,916872.1220000001,78,5.702340630364786,5.89828345112033,5.532966327666004
2021-09-26,1077033.872,1032347.014,524043.3427,2021,39,269,2633424.2287,85,6.981966126986814,6.939590143396813,6.261574395976675
2021-09-27,-1,382520.1649,705005.9802,2021,39,270,1087525.1450999998,86,-1,5.94678137056982,6.558206285329484
2021-09-29,4940.532169,41643.91146,6851.425552,2021,39,272,53435.869181,88,1.597473051915965,3.729155174493639,1.9244567404033193
2021-10-03,-1,760060.2909,207767.1671,2021,40,276,967826.458,92,-1,6.633397760265487,5.336418063775272
2021-10-04,131337.0821,-1,6832560.122,2021,40,277,6963896.204100001,93,4.877767164131084,-1,8.829454717178072
2021-10-17,112226.2372,166686.4868,153418.0845,2021,42,290,432330.80850000004,106,4.720516808888806,5.116114723483564,5.033166773118832
2021-10-24,254856.9687,436219.6729,101670.8356,2021,43,297,792747.4772,113,5.54070248073239,6.078145953392433,4.621740493000222
2021-10-25,98025.53485,219398.8022,153479.6081,2021,43,298,470903.94515,114,4.585228004424668,5.390891088391405,5.033567711948335
2021-10-27,145527.1274,208996.0899,196329.8952,2021,43,300,550853.1125,116,4.980362511844967,5.342315543177363,5.279796383115374
2021-10-31,146501.1267,91932.79837,66680.51256,2021,44,304,305114.43763,120,4.987033119212531,4.521057857638628,4.199912744715677
2021-11-01,142674.5092,176620.3476,131081.4626,2021,44,305,450376.31940000004,121,4.960565876430873,5.174002500105756,4.87581898183977
2021-11-03,114981.1116,163290.7958,94930.62625,2021,44,307,373202.53365,123,4.74476786791672,5.09553263464022,4.553146374838133
2021-11-07,132227.5704,54556.04092,113670.0002,2021,45,311,300453.61152,127,4.884524456354702,3.9992284471193367,4.733299515458098
2021-11-08,43342.52744,86526.34083,159184.2995,2021,45,312,289053.16777,128,3.7691343109745503,4.460448885847453,5.0700626473157335
2021-11-10,229059.9451,154469.7858,267823.2051,2021,45,314,651352.936,130,5.433983738294347,5.039998516048174,5.590327080361953
2021-11-14,76197.34428,1083591.817,85811.02975,2021,46,318,1245600.19103,134,4.333326610116753,6.98803655850284,4.452147550096636
2021-11-15,101768.2301,84767.42104,43103.34164,2021,46,319,229638.99278,135,4.622697973876431,4.4399112831305105,3.7636005263548125
2021-11-17,117801.5947,143229.8184,64951.12987,2021,46,321,325982.54297,137,4.7690018084773005,4.964450461900165,4.17363513896222
2021-11-21,115427.7162,116500.209,172862.8625,2021,47,325,404790.7877,141,4.7486445002799185,4.757893066995562,5.152498577831025
2021-11-22,41476.89,120890.8,143671.2,2021,47,326,306038.89,142,3.725136404658498,4.79488765877824,4.967527355462167
2021-11-24,100074.5342,109127.3578,90509.86229,2021,47,328,299711.75429,144,4.605915250358687,4.692515620341013,4.505458820348584
2021-11-28,100421.7949,76115.96857,242912.9243,2021,48,332,419450.68777,148,4.609379264376319,4.332258079517294,5.492703042908794
2021-11-29,594867.8887,587452.5571,647429.8019,2021,48,333,1829750.2476999997,149,6.388339345093713,6.3757954888852035,6.473010373642411
2021-12-01,124892.8139,177449.1077,169827.0141,2021,48,335,472168.93570000003,151,4.827455880648478,5.178683850621142,5.134780354862772
2021-12-05,277040.458,281178.7471,219180.7137,2021,49,339,777399.9187999999,155,5.624163553283675,5.638990577777263,5.389896566257702
2021-12-06,221139.2914,277040.458,358580.7145,2021,49,340,856760.4639,156,5.398792780804157,5.624163553283675,5.882153779747147
2021-12-08,6950676.716,938699.2103,360353.0992,2021,49,342,8249729.0255,158,8.846594303027397,6.844495098072751,5.887084381860731
2021-12-12,1518912.103,1827135.154,1389461.281,2021,50,346,4735508.538000001,162,7.3257496358787355,7.510504529558727,7.236671383375095
2021-12-13,1945334.509,1384884.732,3149098.898,2021,50,347,6479318.139,163,7.57318922532668,7.233372189165184,8.054871626768547
2021-12-15,8170936.81,3825804.703,1762015.124,2021,50,349,13758756.637,165,9.008338845907245,8.249524104003175,7.47421338988721
2021-12-19,4826605.48,3257537.511,1852798.305,2021,51,353,9936941.296,169,8.481898700395666,8.088726824205148,7.5244523725466514
2021-12-20,2101956.26,2194243.793,2141023.003,2021,51,354,6437223.056,170,7.6506237424668235,7.693592752711248,7.669039032576805
2021-12-22,7263278.622,5246150.328,4167446.137,2021,51,356,16676875.087,172,8.890586606704325,8.565249815753956,8.335058690006333
2021-12-26,11127863.79,13837281.12,9752034.878,2021,52,360,34717179.787999995,176,9.317207493233614,9.535121759005609,9.18523124765184
2021-12-27,5327279.056,10401286.33,9752034.878,2021,52,361,25480600.264,177,8.580595890752376,9.249684763057957,9.18523124765184
2021-12-29,6537268.081,19079832.61,9005921.618,2021,52,363,34623022.309,179,8.785274632562276,9.856387171902997,9.105637597514738
2022-01-02,8146322.86,7938137.9,9828182.621,2022,1,367,25912643.381,183,9.005321921599228,8.979434005326155,9.193009315173764
2022-01-03,9346920.287,21718638.34,19047679.68,2022,1,368,50113238.307,184,9.142802186955356,9.985926080554131,9.85470057156163
2022-01-05,17453790.4,24791521.19,22178962.43,2022,1,370,64424274.02,186,9.767312118942545,10.118256986196219,10.006899480279053
2022-01-09,12196203.84,22803482.05,15808044.26,2022,2,374,50807730.15,190,9.40888002164509,10.034668524773021,9.668274219831908
2022-01-10,17906889.91,15648977.62,16104233.3,2022,2,375,49660100.83,191,9.79294082894273,9.658160866038818,9.686837454298646
2022-01-12,7970896.137,20683752.18,30045926.41,2022,2,377,58700574.727,193,8.983552204233884,9.937103752202797,10.310482370374878
2022-01-16,13558621.91,17006024.98,11848990.64,2022,3,381,42413637.53,197,9.514777927273757,9.741322970837992,9.379997964876349
2022-01-17,10266228.76,10656172.6,9259259.067,2022,3,382,30181660.427,198,9.236615026137127,9.273894590096441,9.133379310076053
2022-01-21,7818026.549,6658160.676,8068571.151,2022,3,386,22544758.376,202,8.964187442228434,8.803598550616384,8.99573168871025
2022-01-23,6746372.922,7796488.592,4706485.034,2022,4,388,19249346.548,204,8.816760294556184,8.961428730803194,8.456696631124576
2022-01-24,2739559.145,5123227.286,9056351.808,2022,4,389,16919138.239,205,7.915552290451567,8.541539848756358,9.111221647744935
2022-01-26,2213093.713,2518252.163,3115928.145,2022,4,391,7847274.021,207,7.7021466857428,7.8313203537522345,8.044282346711915
2022-01-30,8918573.54,7630985.023,1835917.851,2022,5,395,18385476.414,211,9.095891295745602,8.939972214635368,7.515299826715365
2022-01-31,3224317.245,3683716.436,3341627.801,2022,5,396,10249661.482,212,8.078476499840043,8.211677422642904,8.114213332815583
2022-02-02,2943957.419,3995394.083,8325904.639,2022,5,398,15265256.141,214,7.987510016089276,8.29289749739044,9.027126974290338
2022-02-06,1715554.379,2280627.974,2104464.081,2022,6,402,6100646.434,218,7.447491560426251,7.732206111218363,7.651816120352924
2022-02-07,1656650.105,1159275.214,1180880.852,2022,6,403,3996806.171,219,7.412552833390703,7.055550273304608,7.074015923724315
2022-02-09,2185363.768,1641424.938,1385825.893,2022,6,405,5212614.599,221,7.689537577883259,7.403320008208015,7.234051553533088
2022-02-13,653381.1169,1584477.275,933889.2662,2022,7,409,3171747.6581,225,6.482160598994237,7.368009836964385,6.839357872527831
2022-02-14,2107741.566,2832675.845,3106815.612,2022,7,410,8047233.023,226,7.653372305371461,7.948977072175556,8.041353561639085
2022-02-16,1367925.086,2162970.36,2917661.005,2022,7,412,6448556.450999999,228,7.221050334987113,7.679237722669155,7.978537548584895
2022-02-20,1271467.841,1476359.286,1347023.69,2022,8,416,4094850.8170000003,232,7.147927292367725,7.297334394238081,7.205652763486594
2022-02-21,670031.3709,611100.5115,840665.8679,2022,8,417,2121797.7503,233,6.507324533527691,6.4152614489157385,6.734194277697699
2022-02-23,802845.856,802845.856,696996.3271,2022,8,419,2302688.0391,235,6.688162735370614,6.688162735370614,6.546780141162708
2022-02-27,503253.2814,900103.9212,524958.5853,2022,9,423,1928315.7878999999,239,6.221093584915931,6.802510224658394,6.26331937433717
